হাউস ২৬, হযরত নগর ১ নং লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৯১, জাউলাহাটি ৬ নং গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৫/১, হায়দার হোটেল গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪/১৪/১, মাজার গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬, হাজারীবাগ মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১২, ঝাউচর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৩/৩, রোড ৪, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭১/২২, ধলাই কারখানা লিংক রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৬/১/এ, মনেশ্বর রোড লেন ৯৬, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৯/৫, বাড্ডা নগর রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩/২৮, নবাবগঞ্জ রোড মদনাখাট, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩১, রোড ১৪/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৭১, হাসান নগর ৩ নং লেন(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৪/১, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৭০, সুলতানগঞ্জ রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৮৩, মুক্তি সিনেমা হল গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮/১, নিমতলা গলি, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮/৫, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৬, রায়ের বাজার অল্টার গেট গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৪, রোড ৮/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৮, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪০, মধ্য রসুলপুর ৫ নং গলি(মোতালেব মেম্বার গলি), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৫/১/সি, স্টাপ কোয়াটার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৪,৪৪/এ, রোড ৪/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭২, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৭/১, গনোকটুলি লেন ২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৯, হাসান নগর নূর মসজিদ সড়ক, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১১/এ, হাজারীবাগ মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৯০২৩, বেবি স্টোর লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮/১, মাজার গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯, কেলর মহল লেন, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৩/বি, মুন্সিবাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫১,৫৫(বি), হাজারীবাগ মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪০, গনোকটুলি লেন ২, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩২,  সল্ট ফ্যাক্টরি গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৭৩/১, সুলতানগঞ্জ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩০/১(বি), নবিপুর তেজ হজ্বেরবাগ, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯৮/২, সনাতনগড় রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭৪,  মধ্য (মিডেল) রসুলপুর ৪ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪, নিলাম্বর সাহা রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৮৪/জি/২(এ), বাবরি মসজিদ গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ২২৪/১, ঘডি ঘুর গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৫/৬, হাজারীবাগ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩২, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭১/২৭/এ, এম শাখাওয়াত হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৫, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭২, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৪, মিতালি রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪২/৩, মৌলভী শালেক রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৮/সি, নাজিমউদ্দিন রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ৩০০, হাসান নগর ২ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৬/২/১, পিডব্লিউডি কলোনী রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮০, ভান্ডারিজ নূর গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২১৬/সি, মাদ্রাসা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬১/১, নরেন্দ্রনাথ সাহা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫৯/১, পূর্ব রায়ের বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০/১, হাজারীবাগ বটতলা মাজার রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০/১, তল্লাবাঘ বাই লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪০/বি, ধপপাড়া গলি, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৯/৩, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৫, রোড ৯/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬১৮, চাঁন মসজিদ ৬ নং গলি(আমিনবাগ রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৫/২/ডি,  প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০, ইমান আলী লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৯/২, আব্দুল আজিজ লেন মেইন রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৭৪, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬, রায়ের বাজার মুরগি পট্টি গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১০/১, সেকশন ঢাল রোড(এম.সি.রায় রোড), হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৯৯, ওয়াহাব সরকার রোড(ওয়েস্ট রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৮, গনোকটুলি লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৭৫, , কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৭১, সাতমসজিদ রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮/ই(এ), হাজারীবাগ রোড, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৯/১, বাংলা ট্যানারি রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫৪/জি, মধু বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫০/এ, রোড ৪/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩২, হাজারীবাগ বাজার ফকির রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯২, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭৩, রোড ১১/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০১, ১৯, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৮, শিকারিতলা বউ বাজার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩/সি, নবাবগঞ্জের বাজার গলি ২, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৭, ফয়েজ ভিলা’স গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫০/৫, মধু বাজার গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬০৯, চাঁন মসজিদ ৬ নং গলি(আমিনবাগ রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২২/১, গজমহল রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৯৮(এ), হাজারীবাগ রোড, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৪/৫, মুন্সী বাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪০, ধানমন্ডি লেক রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৬/২/সি(এ), পিডব্লিউডি কলোনী রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫৫, মধু বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৯/৭, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৫, পুরান  ট্যানারি গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৩৭, পান্থশালা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৫৮/১, ধলাই কারখানা লিংক রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৩/২, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬/এ, ধানমন্ডি লেক রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১/২, নবাবগঞ্জ মেইন রোড, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৪/১, নবাবগঞ্জ মেইন রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৯, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৪, হাজী সোবহান স্টপ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৬২, ৩ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৭/৫এ, ফয়েজ ভিলা’স গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৭, রোড ৮/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৭/৫, ফয়েজ ভিলা’স গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯৬/সিএইচএইচএ, ট্যালি অফিস নিমতলা রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৭/২, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৯, সনাতনগড় রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৭/৩, ভাগলপুর লেন জেলেপাড়া, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৫/৩, নয়াগাঁও রোড(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৬৮, রায়ের বাজার স্টাফ কোয়ার্টার রোড, মধু বাজার (দক্ষিণ পূর্ব অংশ), ওয়ার্ড নং-৪৯, ধানমন্ডি থানা, ঢাকা
হাউস ৮, হাজারীবাগ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৫৮, হাসান নগর ৭ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪০৬, দেলোয়ার সাহেবের গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩২, সানশাইন স্কুল গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩/১, মুন্সিবাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬/৭, স্টাপ কোয়াটার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৫/বি, স্মরণিকা গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৪/ভি, বাবরি মসজিদ গলি, জাফরাবাদ, মোহাম্মদপুর, ঢাকা জেলা
হাউস ২৩/৮, মুন্সিবাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৪০, পূর্ব (ইস্ট) রসুলপুর ৭ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২০, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২৬, বড় মসজিদ গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০, নবিপুর তেজ হাজারীবাগ , বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৪/ডি, বেবি স্টোর লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪২/২/এ, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৪, রোড ৯/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬১, পচা পুকুর গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫১/১/এ/১, রায়ের বাজার গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫/২(এ), চর খাতা - বো মার্কেট, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২/১৭, দেশনেএী সোসায়টি লেন (পারটেন গলি), রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪৩/২, নিমতলা শিব মন্দির রোড, সুলতানগঞ্জ (অংশ), ওয়ার্ড নং- ৪৮ (অংশ), হাজারীবাগ থানা, ঢাকা
হাউস ৪৬, রোড ১১/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৪২/১, পান্থশালা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৩/৮, হাজী আব্দুল হাই রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩, আবদুল আজিজ লেন, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৩/১, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩/১২, নবাবগঞ্জ লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭৯/১, বাংলা সড়ক, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৯০০৩, মৌলভী শালেক রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৮/১, খায়রুন্নেছা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৪/কে/১, হাজী আব্দুল হাই রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৪৯, তাজু হোসেন রোড(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৩, হাজারীবাগ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯১, রোড ১১/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৭,  প্রাইভেট লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২৫/৪, রোড ৭/এ, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৮, রোড ৩/এ, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০/২১/১, হাজারীবাগ মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৮৮, ওয়াহাব সরকার রোড(ওয়েস্ট রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৮, চর খাতা - বো মার্কেট, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬/১, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৩, পূর্ব (ইস্ট) রসুলপুর ৬ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৮/এফ, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯২, হাতেমবাগ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৪/২, সন্দীপ পটরি গলি, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ৪৮/৫, হাজী সোনা মিয়া গলি, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৪/২,  ওয়েস্ট তলবাগ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২২৪(বি), শের ই বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৭৪, পূর্ব (ইস্ট) রসুলপুর ৪ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৪, লোলিত মোহন দাস লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৯(ডি), হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১২/৪/সি, লালবাগ রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ২৪৪/৪(ভি), নিমতলা শিব মন্দির রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৭০, বাগানবাড়ি রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫১/২/ডি, এনায়েত গঞ্জ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২২৬, মধু বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯১, প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯০, শের-ই-বাংলা রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯৭, নয়াগাঁও চৌ রাস্তা রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৯১/জি, , জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯, নিমতলা গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৭(বি), তিলবাড়ি গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭১, মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৫, , কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৯, হোসেন উদ্দিন খান লেন ১ নং, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ১৪/১২, তল্লাবাঘ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩১/কেএইচএ(বি), হাজারীবাগ মনেশ্বর রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৭৯, আক্কেল আলী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৮৮, জাউলা হাটি রোড(হযরত নগর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৭৯, পূর্ব (ইস্ট) রসুলপুর ৩ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৭৮/৫, , মধু বাজার (দক্ষিণ পূর্ব অংশ), ওয়ার্ড নং-৪৯, ধানমন্ডি থানা, ঢাকা
হাউস ১২২, , কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৮৭, লেন নং ২ নয়াগাঁও, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১০৬, পূর্ব (ইস্ট) রসুলপুর ৬ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৬৫, , কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৬৬, রায়ের বাজার স্টাফ কোয়ার্টার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫০, দেওয়ান বাড়ি গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৪/এ, রোড ৪, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৪/পি/২, মিতালি রোড বাই লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮৮/সি, বাংলা সড়ক, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৬৩, মিডেল রাসুলপুর ৩ নং রোড ওল্ড কমিউনিটি সেন্টার ১ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৯০, নবাবগঞ্জ মেইন রোড, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৩/৪(বি), দুর্গা মন্দির গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৩২৩/১, রোড ৮/এ, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৮/৩, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬/১১/কেএইচএ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৯৫, আক্কেল আলী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২১, মাজার গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৪৩, মিডেল রসুলপুর ৩ নং গলি আলোরন গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৯/৩, প্রাইভেট লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৬/৫/এ(সি), পাবনা হাউস গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১১৩, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৫/১, এনায়েত গঞ্জ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২২, মাজার গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০৬/৩/৩, সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৩(এ),  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৭(সি), রায়ের বাজার অল্টার গেট গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৬৯, হাসান নগর ৩ নং রোড, হাসান নগর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩০৫, জাউলা হাটি চৌরাস্তা রোড(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২২৯/১/এ, ওল্ড রোড 19, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯১/১, হজরত রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩১, শের-ই-বাংলা মেইন রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১১৭, নয়াগাও রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৪৩, আক্কেল আলী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭৭/৫, প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৮/১, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৮,১০৮/এ, প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩/৫(এ), হাজী আব্দুল হাইওয়ে রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮, শিকারিতলা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
